Game,%discount
Tom Clancy's Rainbow Six� Siege,60.06006006006006
No Man's Sky,50.0277932184547
SCUM,50.06587615283268
X4: Foundations,60.03001500750374
Tom Clancy's Ghost Recon� Wildlands,75.03001200480193
Assassin's Creed� Origins,80.02286367533581
This War of Mine,80.10033444816054
Assassin's Creed� Unity,75.05003335557038
Quest Hunter,80.15122873345936
XCOM� 2,90.03001000333444
Assassin's Creed� Syndicate,75.0375187593797
Fable Anniversary,70.09102730819245
Tom Clancy�s The Division�,67.04469646430954
Witch It,75.05112474437627
Dakar 18,90.12875536480686
Assassin's Creed� III Remastered,50.025012506253134
Assassin's Creed� Revelations,67.06706706706707
Realms of Magic,50.0945179584121
Nine Parchments,75.04725897920605
XCOM: Enemy Unknown,75.05003335557038
Crazy Machines 3,90.18036072144288
Assassin's Creed�: Director's Cut Edition,70.14028056112224
Trine 2: Complete Story,75.04424778761062
Tom Clancy�s Splinter Cell Blacklist,75.07507507507508
Road Redemption,70.13232514177695
The Room Three,60.273972602739725
Hello Neighbor,80.11444921316165
Mirror,60.0
Trine Enchanted Edition,75.15657620041753
Trine 3: The Artifacts of Power,75.12605042016807
The Room,80.3088803088803
FlatOut 2�,80.21680216802169
The Room Two,70.27027027027027
Assassin's Creed Freedom Cry,75.03337783711615
FlatOut 4: Total Insanity,80.10973936899862
Painkiller Hell & Damnation,90.12875536480686
Tom Clancy's Rainbow Six� Vegas 2,75.1503006012024
FlatOut: Ultimate Carnage,80.0
Silence,90.17013232514178
Astrox Imperium,50.108932461873636
Treasure Hunter Claire,75.0
DEAD OR SCHOOL,60.105448154657296
Tom Clancy's Splinter Cell Chaos Theory�,75.1503006012024
Pizza Connection 3,90.17013232514178
Chaos on Deponia,90.12875536480686
Mafia,34.24657534246575
DISTRAINT 2,83.28267477203647
ELDERBORN,60.130718954248366
Reigns,67.0967741935484
Super Street: The Game,80.14059753954305
Tom Clancy's Ghost Recon: Future Soldier�,75.07507507507508
Judgment: Apocalypse Survival Simulation,35.16068052930057
Deponia Doomsday,90.08849557522124
The Vagrant,80.0
AER Memories of Old,90.18789144050105
Tricolour Lovestory,70.47619047619048
Tom Clancy's Rainbow Six� Vegas,75.1503006012024
Refunct,75.20000000000002
Tom Clancy's Splinter Cell�,75.10040160642569
ADOM (Ancient Domains Of Mystery),50.10438413361169
Fallen ~Makina and the City of Ruins~,54.99999999999999
Niplheim's Hunter - Branded Azel,44.99999999999999
Leanna's Slice of Life,50.0
Agents of Mayhem,85.12160228898425
Deponia: The Complete Journey,90.06004002668445
Tom Clancy's Rainbow Six� 3 Gold,75.10040160642569
Deponia,90.2439024390244
Barro,90.45226130653265
Youtubers Life,60.050041701417854
FlatOut,85.10028653295129
Ghost 1.0,70.15945330296127
SKYHILL,90.25787965616045
Deadly Days,75.18796992481204
Creatura,40.087145969498906
Goodbye Deponia,90.12875536480686
BADLAND: Game of the Year Edition,90.22556390977444
Weapon Shop Fantasy,40.114613180515754
Tom Clancy's Ghost Recon�,70.14028056112224
The Inner World - The Last Wind Monk,75.06255212677232
Reigns: Her Majesty,67.0967741935484
Kitty Powers' Matchmaker,66.12466124661248
Lost in Secular Love,40.108401084010836
Unexplored,50.135501355013545
Lust for Darkness,90.18789144050105
Golf Peaks,50.0
DISTRAINT: Deluxe Edition,83.41708542713569
Shadwen,75.0455373406193
President Yukino,54.99999999999999
Tom Clancy's Rainbow Six Lockdown�,75.10040160642569
Fox Hime Zero,70.47619047619048
Mirror Maker,60.0
Kunoichi Botan,54.99999999999999
Plane Mechanic Simulator,90.22556390977444
Tom Clancy's EndWar�,75.1503006012024
Dealer's Life,25.21489971346704
Disciples II: Gallean's Return,80.25078369905955
The Inner World,80.1670146137787
The Night of the Rabbit,90.12875536480686
Tennis Elbow 2013,35.07014028056113
Edna & Harvey: Harvey's New Eyes,90.12875536480686
Abandon Ship,60.105448154657296
StrikeForce Kitty,85.28428093645485
Anna's Quest,90.12875536480686
Sister Travel,54.99999999999999
Escape Dead Island,90.18789144050105
Slave's Sword,54.99999999999999
Code Brown,75.37688442211055
Rock 'N' Roll Defense,78.33333333333333
Swarmlake,80.0
Seed of Evil,54.99999999999999
Tsundere Idol,50.08347245409015
My Island,50.108932461873636
The Last Leviathan,50.135501355013545
STARDROP,45.11278195488722
Reigns: Game of Thrones,60.0
Astrox: Hostile Space Excavation,50.1432664756447
Joggernauts,80.17429193899784
WIN THE GAME: WTF!,71.42857142857143
Dangerous Waters,80.1670146137787
Out There Somewhere,71.42857142857143
Razortron 2000,78.33333333333333
Pizza Connection 2,90.30100334448161
Terrible Laboratory,50.0
RUSSIA BATTLEGROUNDS,50.0
Treasure Hunter Simulator,90.18404907975459
Shooty Fruity,65.02835538752363
The Legacy: Forgotten Gates,65.2037617554859
Containment Initiative,75.07163323782234
The King's Bird,80.15122873345936
The Whispered World Special Edition,90.12875536480686
Anomaly 2,90.18789144050105
Kitty Powers' Love Life,66.10978520286397
Polygoneer,71.42857142857143
Bridge Constructor Medieval,80.21680216802169
The Dark Eye: Chains of Satinav,90.12875536480686
Defy Gravity Extended,67.27272727272728
Bridge Constructor,80.21680216802169
Evil Maze,50.42016806722689
CPU Invaders,71.42857142857143
Turbo Pug DX,50.0
Anomaly: Warzone Earth,90.2439024390244
DOKA 2 KISHKI EDITION,50.0
Inner silence,69.04761904761905
Joe Danger,80.1670146137787
MOMO.EXE,75.29411764705883
Mind Spheres,71.42857142857143
Super Switch,90.30303030303031
Age of Fear 3: The Legend,50.07153075822603
Slave's Sword 2,50.0
They Bleed Pixels,75.06775067750678
Lost Horizon 2,80.1670146137787
Tears of a Dragon,50.0
Home Wars,20.054200542005418
Warhammer Quest,80.0
Sins Of The Demon RPG,70.6896551724138
Shadowgrounds,85.26645768025078
Machine Learning: Episode I,71.42857142857143
Tetropunk,90.60402684563759
Fleet Command,80.21680216802169
Ninja Stealth 3,90.45226130653265
Lost Horizon,80.21680216802169
Mashed,80.3088803088803
Through the Mirror,90.30303030303031
Greyfox RPG,67.27272727272728
FEMINAZI: The Triggering,50.0
The Dope Game,50.25125628140703
Space Empires IV Deluxe,80.0
Pizza Connection,90.30100334448161
Strike Suit Zero: Director's Cut,59.999999999999986
The Seeker,87.2
Katy and Bob: Safari Cafe,90.45226130653265
Endless Jade Sea -Midori no Umi-,70.47619047619048
Stone Age Wars,50.0
Port Royale 2,80.3088803088803
Soul Gambler,87.33624454148472
Shadowgrounds Survivor,85.09485094850947
Bad Rats: the Rats' Revenge,55.172413793103445
Double Cross,80.15122873345936
Bad Rats Show,80.67226890756302
Russian Subway Dogs,55.119825708061
In Between,90.22004889975551
Time Warpers,50.0945179584121
Hentai Shooter 3D,71.42857142857143
Age of Fear 2: The Chaos Lord GOLD,80.16032064128257
Volleying,71.42857142857143
Celia's Quest,90.30303030303031
Byte Family,90.30303030303031
State of Anarchy,50.0
Drift Streets Japan,90.45226130653265
Conan the mighty pig,48.27586206896552
KOBOLD: Chapter I,40.182648401826484
Drift Horizon Online,90.45226130653265
Tardy,80.3088803088803
Labyronia RPG,67.27272727272728
Spoko and Poko,90.30303030303031
Nihilist Simulator,50.0
Valhalla Hills,90.34749034749035
Smithy,90.30303030303031
Teria,71.42857142857143
Leviathan ~A Survival RPG~,54.99999999999999
WIN THE GAME!,69.04761904761905
Drunken Fight Simulator,90.30303030303031
Joe Danger 2: The Movie,80.1670146137787
1993 Space Machine,60.08583690987125
Sky Battles,90.30303030303031
Achievement Clicker 2019,50.0
AIRHEART - Tales of broken Wings,70.17543859649123
We Are The Dwarves,90.06622516556291
The Great Gaias,50.0945179584121
Holy Road,54.99999999999999
Freedom Fighter,90.30303030303031
ARMORED KITTEN,50.25125628140703
Achievement Clicker 2018,50.0
Time Rifters,50.135501355013545
Spikit,50.0
Turbo Pug 3D,50.0
Q-YO Blaster,90.25787965616045
Sub Command,80.21680216802169
The Endless Journey,35.24355300859598
Warhammer Quest 2: The End Times,75.04725897920605
Dungeons of Betrayal,90.34749034749035
Possessed,90.30303030303031
A New Beginning - Final Cut,90.18036072144288
Age of Fear: The Undead King,80.16032064128257
MOMO.EXE 2,75.20000000000002
Mystika 3 : Awakening of the dragons,50.25125628140703
Minimalism,71.42857142857143
Dance of Death: Du Lac & Fey,25.048169556840072
Midnight Carnival,50.0
Particula,70.6896551724138
The Shadowland,90.30303030303031
Help,90.30303030303031
Super Mega Neo Pug,50.0
Rift's Cave,71.42857142857143
Red Risk,70.6896551724138
Super Space Pug,50.0
Turbo Pug,50.0
Dead Drop,89.97134670487105
Madness,87.2
Fallen,80.0
Star Fight,90.30303030303031
Candy Blast,90.30303030303031
Dead Bits,70.6896551724138
USA 2020,50.588235294117645
Adorables,87.57396449704143
Save Their Souls,50.0
The Construct,71.42857142857143
Gravity Den,90.30303030303031
Ceville,87.27272727272727
SOULS,80.26755852842808
Strike Suit Zero,60.070671378091866
Obscuritas,80.1670146137787
Project: R.E.B.O.O.T 2,87.2
Chaos Town,90.45226130653265
Nyasha Valkyrie,81.17647058823529
Cyberhunt,78.33333333333333
Tennis Elbow Manager,60.06006006006006
$1 Ride,50.0
Hero,71.42857142857143
Airscape - The Fall of Gravity,72.2007722007722
Queen of Seas,46.55172413793104
Stack,90.30303030303031
Strike Suit Infinity,60.18808777429467
Fighters Unleashed,90.30303030303031
New kind of adventure,50.0
War Cube,71.42857142857143
Magic Box,90.30303030303031
Osteya,90.30303030303031
Ichi,80.3088803088803
The Prism,90.30303030303031
Radium,60.35502958579882
Anomaly Defenders,90.2439024390244
Psebay,72.08672086720867
aMAZE,81.9047619047619
Phantom Thief Celianna,60.0
Lanternium,89.99999999999999
Distant Space 2,71.42857142857143
Dungeon of Zolthan,50.0
Fortissimo FA INTL Ver,89.99999999999999
688(I) Hunter/Killer,80.21680216802169
"Planes, Bullets and Vodka",78.33333333333333
Catch a Falling Star,50.0
A Dump in the Dark,65.88235294117646
Overcast - Walden and the Werewolf,70.6896551724138
Control Craft 2,90.00000000000001
1954 Alcatraz,90.2439024390244
Freebie,50.0
PUZZLE: LANDSCAPES,69.04761904761905
Santa Rockstar,90.25787965616045
The Dark Inside Me,50.16722408026756
Gnomes Garden: Halloween,90.19607843137256
Nova Nukers!,90.22556390977444
Heart of Moon : The Mask of Seasons,50.2283105022831
BomberZone,50.0
Doug and Lily,90.30303030303031
Sun Blast: Star Fighter,67.27272727272728
Chocolate makes you happy,81.9047619047619
Mr Husky,70.47619047619048
aMAZE ZER0,81.9047619047619
Monument,75.29411764705883
POLYWAR,50.0
Rivais Em Batalha,90.45226130653265
Soccer Player Simulator,50.0
Bridge Constructor Playground,80.21680216802169
Argonauts Agency: Golden Fleece,90.41095890410959
iREC,90.45226130653265
Shift,50.0
The Qaedon Wars - The Story Begins,10.18181818181819
Roads of Rome: New Generation 2,50.25125628140703
Lilipalace,54.99999999999999
Hexa Turn,70.4
Marble Mayhem: Fragile Ball,67.27272727272728
The Last Tinker�: City of Colors,90.18036072144288
Battle of Red Cliffs VR,50.07153075822603
The Adventurer - Episode 1: Beginning of the End,90.45226130653265
ReX,90.18036072144288
Aqua Panic !,80.22922636103151
The Franz Kafka Videogame,90.34749034749035
Carton,90.45226130653265
Distant Space,71.42857142857143
Alchemage,50.1432664756447
Chicken Labyrinth Puzzles,90.45226130653265
RymdResa,65.16290726817043
To The Light,50.15197568389058
Trivia Vault: Business Trivia,90.0
Hyper Sentinel,90.30100334448161
ORIX!,71.42857142857143
Poopy Philosophy,90.30303030303031
Control Craft 3,73.07692307692307
The Savior's Gang,60.30150753768845
Purgatory,50.0
Office Battle,50.0
The God's Chain,87.2
Epic Car Factory,90.25787965616045
Druid,80.0
Worlds of Magic,90.15817223198594
Outbreak: The Nightmare Chronicles,75.37688442211055
The Dreamlord,50.0
Strange Night,90.45226130653265
Broken Dreams,50.0
Reset 1-1,50.0
Lawnmower Game,74.78991596638657
Hentai Shooter 3D: Christmas Party,71.42857142857143
Silence of the Sleep,83.41708542713569
Cosmic Dust & Rust,50.0
Desolate Wastes: Vendor Chronicles,50.0
Hentai Shooter 2: World Tour,50.0
Data Hacker: Initiation,50.0
Neon,90.22556390977444
Drayt Empire,50.0
PUZZLE: OCEAN,69.04761904761905
Over The Hills And Far Away,30.136986301369863
Rabiez: Epidemic,50.0
TankZone Battle,80.22922636103151
The Housewife,50.0
Neon Hardcorps,50.0
Trippy Jump,90.0
Star Chronicles: Delta Quadrant,50.0
Radium 2,60.231660231660236
Battle Ranch: Pigs vs Plants,67.22689075630252
The Archetype,90.45226130653265
Into Oblivion,50.25125628140703
Hacker Evolution Source Code,89.99999999999999
Rogue Port - Blue Nightmare,90.30303030303031
1vs1: Battle Royale for the throne,71.42857142857143
Chocolate makes you happy 7,81.9047619047619
Game Of Puzzles: Nature,86.4406779661017
Outbreak,80.22922636103151
Approaching Blocks,75.29411764705883
illie,90.30303030303031
Clergy Splode,50.0
HUBE: Seeker of Achievements,71.42857142857143
Cyberoque,90.22556390977444
Space Wars,90.23746701846966
SPACECOM,89.15989159891599
Banzo - Marks of Slavery,75.29411764705883
Never Forget Me,35.07306889352818
Will Glow the Wisp,75.29411764705883
Spreadstorm,30.085959885386814
Lost Artifacts: Time Machine,90.19607843137256
Hexanome,70.4
Memories of a Vagabond,90.34749034749035
Labyronia RPG 2,67.27272727272728
Dead6hot,50.0
Final Quest,50.0
Data Hacker: Reboot,50.0
Anomaly Korea,90.39301310043668
aMAZE Classic: Inverted,81.9047619047619
Chocolate makes you happy: New Year,81.9047619047619
Trivia Vault: Auto Racing Trivia,90.0
Space Empires V,80.0
Rogue Port - Red Nightmare,81.17647058823529
Hyper color ball,50.0
BORIS the Mutant Bear with a Gun,50.0
Super Mustache,50.0
Anomaly Warzone Earth Mobile Campaign,90.39301310043668
Dream Stone,90.45226130653265
Sleeping Valley,90.45226130653265
Project: R.E.B.O.O.T,90.30303030303031
Germ Wars,50.0
Lost Artifacts: Golden Island,90.19607843137256
Bridge Constructor Stunts,80.21680216802169
The Village,90.45226130653265
TAL: Jungle,86.4406779661017
Trivia Vault Baseball Trivia,90.0
Eron,90.45226130653265
Radical Spectrum: Volume 1,50.0
Gunpowder on The Teeth: Arcade,50.4
The Adventures of Fluffy,50.0
Mistwood Heroes,90.30303030303031
BLOCKADE War Stories,70.27027027027027
Shape Shifter,50.0
Warriors of Vilvatikta,50.0
Trident's Wake,80.17429193899784
Outbreak: Lost Hope,80.22922636103151
Always Remember Me,35.062611806797854
Star Fields,50.0
Star Advent,71.42857142857143
Slime & Friends,50.0
UnderDread,90.45226130653265
Dangerous Bullets,90.30303030303031
Star Drifter,50.0
Bassline Sinker,50.588235294117645
Town of Night,50.0
Nokori,50.0
Hover Hazard,90.45226130653265
Data Hacker: Corruption,50.0
Escape Machines,50.0
Spandex Force: Champion Rising,90.25787965616045
The Next Door,90.45226130653265
Bounce,90.45226130653265
Trivia Vault Basketball Trivia,90.0
Holy Avatar vs. Maidens of the Dead,80.21680216802169
Trivia Vault Olympics Trivia,90.0
Magnificent Ships: Volume 1,30.085959885386814
Aliens Don't Exist,50.0
"Dynamic Very, Very, Hard game!!",90.45226130653265
Painted Memories,90.45226130653265
imprint-X,75.28957528957528
Defense of Egypt: Cleopatra Mission,58.19397993311037
Find your way,90.18404907975459
Extreme Racing on Highway,90.23746701846966
Jewel Puzzle Click,90.45226130653265
Puzzle Sisters Foer,50.0
The Dwarf Run,60.16713091922005
Chocolate makes you happy 2,81.9047619047619
Trivia Vault: 1980's Trivia,90.0
9th Company: Roots Of Terror,90.2439024390244
The Last Hope,73.07692307692307
Darkness Ahead,90.45226130653265
Assault of the Robots,71.42857142857143
Trapped Dead,80.3088803088803
TAL: Arctic 3,86.4406779661017
LeftWay,60.13667425968109
Yashik,90.30303030303031
Top Burger,90.25787965616045
X-17,90.45226130653265
Beer Bar,71.42857142857143
Space Force,87.27272727272727
Suna,87.2
Eight Mini Racers,90.45226130653265
Planar Conquest,90.08849557522124
Extreme School Driving Simulator,90.22556390977444
Terra Incognita ~ Chapter One: The Descendant,50.0
Robot Soccer Challenge,80.17429193899784
The Wolf's Bite,50.303030303030305
Trivia Vault: Art Trivia,90.0
aMAZE Gears,81.9047619047619
Chocolate makes you happy 4,81.9047619047619
aMAZE Frozen,81.9047619047619
Time of Fury,90.18404907975459
"Kivi, Toilet and Shotgun",50.0
Finnish Roller,50.0
Torn Tales,80.21108179419525
HIVE: Altenum Wars,80.22922636103151
aMAZE Dark Times,81.9047619047619
Skilltree Saga,80.21680216802169
Calcu-Late,50.0
Destiny Warriors RPG,67.27272727272728
Mustache Politics Shooter,50.0
Jack Is Missing,90.45226130653265
Drive for Your Life,90.30303030303031
Qvabllock,90.30303030303031
The Odyssey: Winds of Athena,77.3109243697479
EVIL STAR,50.303030303030305
The Life of One Dog,71.42857142857143
MMMmmm... Cake!,75.29411764705883
Blacksmith Run,50.0
Strategic War in Europe,90.18789144050105
Orbital Racer,90.19607843137256
Windscape,80.15122873345936
Elon Must - Road to Respect,50.0
aMAZE St.Patrick,81.9047619047619
Dehumanized,60.0
Legend of Mysteria RPG,67.27272727272728
Trivia Vault: Boxing Trivia,90.0
Autumn Dream,89.60000000000001
Fly Flew Flown,90.45226130653265
Nash Racing,86.02620087336244
Hentai 2+2=4,69.04761904761905
Heartomics: Lost Count,50.588235294117645
Whispering Flames,50.4
Cyborg Invasion Shooter 3: Savior Of The World,83.2
Storm over the Pacific,90.2439024390244
Outbreak: The New Nightmare,80.1909307875895
The Campaign Series: Fall Weiss,90.18789144050105
Strange Night ll,90.25787965616045
End War RTS,30.95238095238095
Mine the Gold,71.42857142857143
Trivia Vault Football Trivia,90.0
TRISTOY,80.25078369905955
Dangerous Lands - Magic and RPG,89.99999999999999
The Putinland: Divide & Conquer,75.29411764705883
HotFloor,90.25787965616045
The Tower Of Elements,50.0
Lup,50.0
Trivia Vault: 1980's Trivia 2,90.0
Soulblight,90.18789144050105
Robot Warriors,89.99999999999999
Underground Keeper,80.22922636103151
Cyborg Invasion Shooter,75.29411764705883
Trapped Dead: Lockdown,80.21680216802169
Nyasha Winter,81.17647058823529
Eon Fleet,90.18404907975459
Science Girls,75.20000000000002
Knights of Hearts,90.18404907975459
FEMINAZI: 3000,50.0
Crystals of Time,50.0
Queen of Seas 2,50.0
Tiny Bridge: Ratventure,74.13127413127414
JET HERO,50.303030303030305
Need a packet?,90.20501138952164
Shop Manager : Video Game Tycoon,10.303030303030301
Golden Dungeons,71.42857142857143
Light The Way,90.34749034749035
Wanted Corp.,80.1955990220049
Mentai Uncensored,90.11299435028248
Miner Mayhem,35.2
Matryoshka Strike,80.0
TAL: Arctic,86.4406779661017
Descent - Silence of Mind,90.25787965616045
TAL: Arctic 2,86.4406779661017
Legions of Ashworld,80.40201005025126
Ducati World Championship,80.3088803088803
World War 2: Time of Wrath,80.3088803088803
Falling words,90.25787965616045
Bernie�s Nightmare,90.45226130653265
ASTRAL,90.27355623100304
Gelu,90.30303030303031
Professor Watts Word Search: Into The Ocean,90.11299435028248
aMAZE Untouchable,81.9047619047619
Explomania,80.22922636103151
Vector Velocity,90.18036072144288
Bitcoin Collector,81.9047619047619
Race.a.bit,80.21680216802169
Cowboy's Adventure,81.9047619047619
Beach Restaurant,90.18404907975459
Lawnmower Game 3: Horror,75.29411764705883
Reveal,90.45226130653265
The Island Combat,90.18036072144288
I fell from Grace,60.200668896321076
Easy Shooter,50.0
Hacker Evolution,85.16129032258064
Deep Sorrow,90.45226130653265
Blind Boris,90.21479713603819
The Balcony,70.3030303030303
Psi Cards,81.17647058823529
Professor Watts Memory Match: Shapes And Colors,90.11299435028248
aMAZE ABC,81.9047619047619
Kingdom Defense,90.45226130653265
Storm,80.21680216802169
Horror Fish Simulator,50.0
Castaway Home Designer,80.3088803088803
Bitcoin Trader,81.17647058823529
Crushing Blow,87.2
Professor Watts Word Search: Pirates Life,90.11299435028248
Puzzle Monarch: Nile River,90.11299435028248
Gangsta Sniper,87.27272727272727
Mumps,90.30303030303031
Grav Blazer,90.11299435028248
Puzzle Monarch: Mummy,90.11299435028248
Hacker Evolution: Untold,85.16129032258064
Lawnmower Game 2: Drifter,50.0
Asteroid Bounty Hunter,90.1072705601907
"Run, my little pixel",81.17647058823529
Frog Demon,90.45226130653265
Horny Fighter,50.0
The path to domination,71.42857142857143
Defendoooooor!!,90.45226130653265
Kill Him! Online Wars,90.25787965616045
The Warrior Of Treasures,50.0
Grav Blazer Squared,90.11299435028248
Professor Watts Memory Match: Yummy Cupcakes,90.11299435028248
Cubesis,50.0
Bitcoin Collector: Spinners Attack,81.9047619047619
Professor Watts Word Search: Yummy Foods,90.11299435028248
Run Naked Woman Run,50.0
Survival Driver,74.78991596638657
Professor Watts Memory Match: Cats,90.11299435028248
Gun-Running War Dogs,50.0
WeakWood Throne,80.40201005025126
Land of Puzzles: Castles,90.11299435028248
Puzzle Monarch: Egypt,90.11299435028248
Fable of the Sword,70.47619047619048
Gangsta Sniper 2: Revenge,83.2
Unfinished Battle,90.25787965616045
Slime Jumper,80.3088803088803
Zomby Soldier,50.0
Professor Watts Memory Match: Expressions,90.11299435028248
Cold Cable: Lifeshift,50.0
Land of Puzzles: Elven Princess,90.11299435028248
Professor Watts Memory Match: Puppies,90.11299435028248
Zorbit's Orbits,50.0
Shannon Tweed's Attack Of The Groupies,80.3088803088803
Professor Watts Memory Match: Fresh Fruit,90.11299435028248
Puzzle Monarch: Vampires,90.11299435028248
Land of Puzzles: Knights,90.11299435028248
FPS - Fun Puzzle Shooter,50.0
Puzzle Monarch: Zombie,90.11299435028248
Puzzle Monarch: Super Natural,90.11299435028248
Land of Puzzles: Battles,90.11299435028248
Professor Watts Memory Match: Cute Animals,90.11299435028248
SkiFy,50.0
Yet another tower defence,70.47619047619048
Cursor Challenge,41.37931034482759
Radical Spectrum: Volume 2,50.0
Multicellular,25.125628140703515
Army of Tentacles: (Not) A Cthulhu Dating Sim,52.0
Super Poop,90.30303030303031
Everyday Baseball VR,34.20479302832244
Equalizer,90.18036072144288
Furries & Scalies & Bears OH MY!,15.0
Overhead,90.45226130653265
Ablepsia,90.45226130653265
ShipLord,90.1072705601907
Extreme Truck Simulator,90.25787965616045
Hacker Series,50.0
Lucky Panda,90.18404907975459
Nash Racing 2: Muscle cars,50.0
Magic Heart,50.588235294117645
Freezeer,71.42857142857143
the Line,70.3030303030303
Dongo Adventure,30.58823529411765
Dupio,90.25787965616045
Flatout 3: Chaos & Destruction,90.2439024390244
Eaten Alive,50.0
Ampersand,50.0
Campfire: One of Us Is the Killer,71.42857142857143
Everyday Golf VR,50.06858710562414
Guardians of Victoria,50.0
Hacker Evolution Duality,85.16129032258064
Raise Your Own Clone,50.0
AI: Rampage,50.0
Hero Quest: Tower Conflict,50.0
The Land of Dasthir,50.0
Stellar 2D,50.0
Purgatory II,50.0
Drift (Over) Drive,50.0
So Many Cubes,50.0
The Sacred Stone,90.45226130653265
Torn Tales: Rebound Edition,80.17429193899784
Zombie Apocalypse: Escape The Undead City,50.588235294117645
Dungeon Kitty,50.303030303030305
Barbarian Souls,90.19607843137256
School of Horror,71.42857142857143
Deadly Animal Duel,50.0
No Way Out,50.0
Dark Egypt,89.60000000000001
Hidden Object - Sweet Home,83.2
Tales of Destruction,74.78991596638657
Razor2: Hidden Skies,90.2439024390244
Story: Heaven & Hell (Complete Edition),71.42857142857143
Joana's Life,50.0
Qajary Cat,80.22922636103151
Bloody Sand,71.42857142857143
Professor Watts Word Search: Space Voyage,90.11299435028248
The Rare Nine,74.11764705882354
Lost with Dinosaurs,48.27586206896552
Formless Adventure,50.0
Towns,25.054466230936818
Habitat,75.15657620041753
Until the last,90.30303030303031
Kim Jong-Boom,40.33613445378151
Triple Otakus Puzzle,48.27586206896552
War Operations,70.3056768558952
Square Head Zombies - FPS Game,89.99999999999999
X3: Reunion,53
Artifact,25